scene_id,target_id,category,visible_frames,single_frame_recon,multi_frame_recon,scannet_pose_crop,scannet_full
scene0040_00,8,desk,100,0.14757482147120923,0.33624633529137155,0.1952113950309739,0.5981157234436101
scene0040_00,9,desk,85,0.0,0.0,0.5685964017014948,0.6253270758011195
scene0040_00,45,chair,79,0.32923811632168865,0.41564099447734343,0.0,0.7685217208430157
scene0040_01,12,desk,156,0.0,0.0,0.8641042427978642,0.7975345219327031
scene0040_01,14,desk,47,0.49510628182156585,0.7185618652744424,0.0,0.8235023594087011
scene0040_01,40,cabinet,41,0.0,0.0,0.0,0.13885893134332308
scene0114_00,5,chair,75,0.5264226738046752,0.5147083181087024,0.0,0.6966862045324705
scene0114_00,6,chair,94,0.0,0.105811602936311,0.677962506819052,0.590775088326679
scene0114_00,9,cabinet,45,0.0,0.0,0.7397629865981555,0.8537855739095493
scene0114_02,1,window,59,0.0,0.0,0.0,0.3505495345025584
scene0114_02,11,window,72,0.0,0.03262630674621779,0.0,0.5010574402646639
scene0114_02,19,desk,52,0.7234895348769266,0.6887304902279141,0.3225001155072847,0.7799267431249802
scene0247_00,15,door,178,0.0,0.0,0.0,0.5325672925764138
scene0247_00,40,door,23,0.0,0.0016458261847885143,0.012285878261115647,0.5954432072117768
scene0247_00,54,table,70,0.0,0.0,0.0,0.7482271309021514
scene0392_01,20,sink,71,0.0,0.0,0.7439545811901789,0.5774348813886409
scene0392_01,33,window,22,0.4487019464675251,0.014023331884152567,0.0,0.6654890320051006
scene0392_01,42,sink,73,0.061747740078249444,0.10372307860594414,0.0,0.5661050956885927
scene0451_00,26,curtain,78,0.32268645375930094,0.2662949220684035,0.0,0.5997310341592473
scene0451_00,32,curtain,104,0.028383860600658006,0.08683784044341349,0.0,0.49025822658460794
scene0451_00,72,picture,29,0.0,0.0,0.0,0.04483218032423922
scene0451_02,4,curtain,43,0.0,0.0,0.3668633938523957,0.4840979448165889
scene0451_02,17,table,90,0.0,0.0,0.03460206706729392,0.5132146230134363
scene0451_02,23,curtain,69,0.0,0.0,0.0,0.2626760805612708
scene0451_04,14,curtain,41,0.3922264805367214,0.09735889285420296,0.0,0.26952440840313446
scene0451_04,22,curtain,90,0.0008177065901012323,0.026089737167182332,0.0,0.4364350966870748
scene0451_04,88,cabinet,17,0.0,0.0,0.0,0.49557265430708347
scene0614_00,12,cabinet,31,0.0,0.0,0.8652891153047094,0.2719871728915522
scene0614_00,13,desk,26,0.0,0.0,0.0,0.8955514104860127
scene0614_00,33,window,12,0.254544987212512,0.5278174499495255,0.0,0.754198631545453
