route,condition,num_targets,mean_iou,median_iou,acc_025,acc_050,scope
2D-CG full-local,conceptgraph_scene,2096,0.3428655822933324,0.34207257189444523,0.6226145038167938,0.2738549618320611,full local prepared scenes
V-DETR batch30,single_frame_recon,30,0.12436468678470446,0.0,0.26666666666666666,0.06666666666666667,10 scenes / 30 supported visible targets
V-DETR batch30,multi_frame_recon,30,0.13120389974066385,0.0008229130923942572,0.23333333333333334,0.13333333333333333,10 scenes / 30 supported visible targets
V-DETR batch30,scannet_pose_crop,30,0.17970442280435062,0.0,0.26666666666666666,0.2,10 scenes / 30 supported visible targets
V-DETR batch30,scannet_full,30,0.5575995673661917,0.5841049848576599,0.9333333333333333,0.6666666666666666,10 scenes / 30 supported visible targets
