scene_id,target_id,category,visible_frames,input_condition,best_iou,best_proposal_index,failure_tag
scene0392_01,33,window,22,scannet_full,0.6654890320051006,11,
scene0392_01,42,sink,73,scannet_full,0.5661050956885927,24,
scene0392_01,20,sink,71,scannet_full,0.5774348813886409,6,
scene0114_00,6,chair,94,scannet_full,0.590775088326679,3,
scene0114_00,5,chair,75,scannet_full,0.6966862045324705,1,
scene0114_00,9,cabinet,45,scannet_full,0.8537855739095493,8,
scene0114_02,1,window,59,scannet_full,0.3505495345025584,15,
scene0114_02,11,window,72,scannet_full,0.5010574402646639,74,
scene0114_02,19,desk,52,scannet_full,0.7799267431249802,12,
scene0614_00,33,window,12,scannet_full,0.754198631545453,10,
scene0614_00,13,desk,26,scannet_full,0.8955514104860127,9,
scene0614_00,12,cabinet,31,scannet_full,0.2719871728915522,12,
scene0247_00,15,door,178,scannet_full,0.5325672925764138,15,
scene0247_00,40,door,23,scannet_full,0.5954432072117768,10,
scene0247_00,54,table,70,scannet_full,0.7482271309021514,32,
scene0040_00,8,desk,100,scannet_full,0.5981157234436101,14,
scene0040_00,9,desk,85,scannet_full,0.6253270758011195,10,
scene0040_00,45,chair,79,scannet_full,0.7685217208430157,4,
scene0040_01,14,desk,47,scannet_full,0.8235023594087011,12,
scene0040_01,12,desk,156,scannet_full,0.7975345219327031,11,
scene0040_01,40,cabinet,41,scannet_full,0.13885893134332308,20,
